id,age,gender,split,final,x,y
"1","33",M,01:05:38,02:08:51,7.24160192154656,24.2810538398011
"2","32",M,01:06:26,02:09:28,-117.35243707174,47.3981021649534
"3","31",M,01:06:49,02:10:42,40.6001393490133,48.4256360244898
"4","38",M,01:06:16,02:13:45,103.88104437427,29.109852805511
"5","31",M,01:06:32,02:13:59,-76.0359663503228,48.0552455680517
"6","31",M,01:06:13,02:14:11,-55.0639405903444,3.72788570811227
"7","27",M,01:06:40,02:14:28,-133.241941429256,60.7872864496943
"8","31",M,01:06:31,02:15:16,140.669202802107,-37.3206717311782
"9","30",M,01:05:39,02:15:57,-47.2111512242584,-19.6968061556958
"10","30",M,01:05:40,02:16:39,-11.3463500105577,23.0079434827769
"11","26",M,01:08:10,02:18:18,172.555736520789,69.3216024777386
"12","29",M,01:05:54,02:18:52,46.1689079492801,50.1311130490606
"13","28",M,01:08:59,02:19:36,20.0045281577658,52.0657654717577
"14","24",M,01:09:16,02:19:45,129.921511405399,-16.5066723884276
"15","37",M,01:05:21,02:19:47,-69.5867529514787,-11.129726107797
"16","25",M,01:09:52,02:20:17,37.3459841211075,18.8314208352366
"17","22",M,01:09:53,02:20:57,-82.3443807191924,70.6019893305148
"18","30",M,01:05:40,02:21:17,41.356601396995,21.5307229274538
"19","26",M,01:10:11,02:21:24,-98.8795522139036,59.7318549362525
"20","36",M,01:10:35,02:21:55,115.992339012836,40.2728860222386
"21","28",M,01:11:59,02:22:14,85.946599566012,54.9571450740032
"22","31",M,01:05:54,02:22:20,-133.688703816334,62.9772072124851
"23","41",M,01:09:14,02:22:27,83.1665788989594,57.6108287333326
"24","24",M,01:11:18,02:22:55,-57.3188287993519,-16.362407033778
"25","26",M,01:10:17,02:22:56,115.084236969734,31.6338885960289
"26","36",M,01:06:39,02:23:31,-125.277999168111,50.1719261905529
"27","28",M,01:10:32,02:23:39,123.25491273658,61.7854316072851
"28","29",M,01:12:25,02:23:48,100.628765281663,52.9980096288973
"29","34",W,01:12:35,02:24:13,16.7759578410455,-23.1198404922906
"30","31",M,01:14:07,02:25:19,-57.3629197652025,-20.4321073715307
"31","39",W,01:13:13,02:25:37,-114.144521529601,63.2622471988419
"32","29",M,01:09:59,02:25:38,-127.268900022217,61.0948228166503
"33","29",W,01:13:09,02:25:50,114.885385710667,65.627650418312
"34","31",M,01:13:24,02:25:56,31.1790361833042,-16.2822237407389
"35","30",M,01:11:51,02:26:15,-66.7425369776487,-34.6407565765111
"36","30",M,01:08:34,02:26:36,39.3002597670015,13.9730395416118
"37","34",M,01:06:20,02:27:22,118.212624054929,70.3327670361003
"38","27",M,01:12:23,02:27:24,-121.317288501909,53.2347343951758
"39","23",M,01:13:42,02:27:32,95.7970878780864,55.8504449691
"40","37",M,01:12:10,02:28:08,-57.1563965798537,-8.64956832196537
"41","36",W,01:12:57,02:28:13,73.6608386965255,69.7269858196503
"42","27",W,01:13:07,02:28:27,145.382741852514,-32.733861983477
"43","39",M,01:12:57,02:28:36,-101.485849643357,54.4488822907128
"44","38",M,01:13:08,02:28:51,144.257681752937,66.4800024345525
"45","47",M,01:15:38,02:28:55,-93.1559386427085,32.7568174603248
"46","36",W,01:13:00,02:28:56,137.067574199759,70.4292812483853
"47","34",W,01:12:47,02:29:07,-158.646287606841,68.7966925763404
"48","24",W,01:13:39,02:29:10,19.2791610805762,19.7786879573847
"49","38",M,01:13:30,02:29:12,128.865953053591,-23.5605612573749
"50","35",M,01:12:52,02:29:15,32.0817107959458,58.8731447542525
"51","35",M,01:13:51,02:29:35,-48.6581664985306,-22.0900239134737
"52","39",M,01:12:41,02:29:35,32.4878364755229,21.430895408794
"53","36",W,01:13:44,02:29:38,99.0956305392253,8.07599574461831
"54","33",M,01:13:40,02:29:52,-73.53496050742,-3.69867693977002
"55","22",M,01:09:44,02:29:54,134.019025798682,-12.0616664674346
"56","22",M,01:09:35,02:30:10,-1.50597161399449,31.4446148783485
"57","35",W,01:14:04,02:30:10,-70.6385745113538,54.836705092988
"58","32",M,01:13:37,02:30:12,24.0705396401031,-8.29501175287179
"59","33",M,01:13:00,02:30:20,-57.7263393081838,-14.4878090821721
"60","34",W,01:13:28,02:30:20,-100.354206916807,36.1549855896574
"61","36",M,01:14:28,02:30:41,8.40921685622513,32.5913562457265
"62","31",W,01:14:39,02:30:45,14.6603080678774,37.710128800711
"63","23",W,01:13:42,02:30:46,-98.9905006798376,19.7976108886638
"64","32",W,01:13:51,02:30:52,23.6079461671908,-27.5627552138342
"65","38",W,01:14:22,02:30:55,89.1469086305642,30.3444155314037
"66","31",M,01:13:13,02:31:01,38.4322396746467,6.66496666960261
"67","28",M,01:13:18,02:31:06,30.774531961934,-4.05190235416543
"68","37",W,01:13:29,02:31:06,-51.4613488497549,-6.60024512001365
"69","30",M,01:14:56,02:31:10,88.771780956357,71.5387519900783
"70","27",M,01:13:52,02:31:13,68.3854619673959,66.4034730604411
"71","34",M,01:14:07,02:31:18,-0.696293335471296,44.436980559197
"72","44",M,01:16:36,02:31:18,-62.116785218036,-17.023621473618
"73","31",M,01:14:40,02:31:34,-70.7421122545816,-39.4353556919353
"74","30",M,01:14:40,02:31:41,-45.3211222991686,-11.4645316136355
"75","26",M,01:12:43,02:31:44,-11.3962144918673,12.1877678889998
"76","29",M,01:07:09,02:31:49,37.8998278713533,47.4551937777673
"77","34",M,01:14:59,02:32:05,12.0707285436751,60.6796802434602
"78","34",M,01:13:46,02:32:09,156.803744588303,70.3604435409057
"79","33",M,01:13:31,02:32:10,-163.254688217968,61.8994153540931
"80","29",M,01:07:27,02:32:12,-64.9584076512683,-2.98091001140317
"81","24",M,01:13:16,02:32:15,81.8173310818818,42.2945574553426
"82","28",M,01:14:04,02:32:15,123.322462843507,-26.1735457524857
"83","32",M,01:14:27,02:32:18,-130.74642942566,55.3259734537052
"84","33",M,01:15:59,02:32:27,28.273540564909,66.4403103774531
"85","25",M,01:15:16,02:32:35,83.1004829157777,33.5987959037693
"86","31",M,01:12:43,02:32:36,53.3090634033714,72.802771930828
"87","29",M,01:13:34,02:32:45,-91.3509272014859,30.1464428165317
"88","33",M,01:12:57,02:32:54,112.078731064199,30.2766802103741
"89","26",M,01:14:40,02:32:57,-107.680330193207,52.3695978478273
"90","31",M,01:15:02,02:33:15,84.18429651228,68.5383036622293
"91","29",M,01:14:41,02:33:19,142.190137076251,-36.2891285197052
"92","27",M,01:15:06,02:33:24,59.1279460122097,63.8868617676015
"93","34",M,01:14:12,02:33:26,65.5215088355395,45.7076100600747
"94","44",M,01:15:40,02:33:30,23.7120793614647,-0.439837523889985
"95","36",M,01:15:37,02:33:37,96.8339988329363,55.213254117244
"96","44",M,01:16:08,02:33:45,114.009074375265,41.8770630865711
